app_name;count
PLAYERUNKNOWN'S BATTLEGROUNDS;1644255
Grand Theft Auto V;1019116
Tom Clancy's Rainbow Six Siege;841918
Terraria;672815
Garry's Mod;655524
Rust;549074
Rocket League;498565
PAYDAY 2;487747
Among Us;485293
The Witcher 3: Wild Hunt;469395
Dead by Daylight;418897
ARK: Survival Evolved;400009
Euro Truck Simulator 2;387553
Stardew Valley;315717
The Elder Scrolls V: Skyrim;294966
Wallpaper Engine;292790
Monster Hunter: World;290946
Hollow Knight;269854
The Forest;239734
Don't Starve Together;238636
DARK SOULS™ III;235422
Portal 2;232329
Fallout 4;228957
Phasmophobia;219090
Dying Light;214431
Arma 3;182348
No Man's Sky;182045
Tomb Raider;181054
Sid Meier's Civilization V;171404
Subnautica;152414
Doki Doki Literature Club;148837
Cities: Skylines;147028
Undertale;144351
Sid Meier's Civilization VI;143789
The Elder Scrolls V: Skyrim Special Edition;142509
DOOM;139973
The Binding of Isaac: Rebirth;124389
Mount & Blade: Warband;123905
Human: Fall Flat;123604
Sekiro™: Shadows Die Twice;119760
Hades;118416
Counter-Strike: Source;118081
Hearts of Iron IV;116255
Divinity: Original Sin 2;113508
Factorio;108282
BioShock Infinite;107277
DOOM Eternal;105196
Raft;97930
Stellaris;94667
RimWorld;94041
For Honor;93971
Assassin's Creed Odyssey;92766
The Elder Scrolls Online;91923
Rise of the Tomb Raider;91106
Age of Empires II (2013);86513
Darkest Dungeon®;86384
Helltaker;86306
Slay the Spire;86023
Far Cry 5;85745
Europa Universalis IV;85477
Total War: WARHAMMER II;85255
Don't Starve;85088
Resident Evil 2;82650
MORDHAU;82327
Just Cause 3;82168
NieR:Automata™;81110
Hunt: Showdown;79345
Castle Crashers;74916
Kingdom Come: Deliverance;72944
Deep Rock Galactic;72059
American Truck Simulator;71140
Cuphead;68691
theHunter: Call of the Wild™;67240
Borderlands 3;67080
Total War: THREE KINGDOMS;66982
Outlast;65525
Dead Cells;64772
Insurgency: Sandstorm;64638
Assassin's Creed Origins;62294
Conan Exiles;62151
Warhammer: Vermintide 2;61887
XCOM 2;61636
Mirror;60195
BeamNG.drive;60096
Hotline Miami;60074
Oxygen Not Included;59920
Frostpunk;59768
Bloons TD 6;59760
BattleBlock Theater;59317
Saints Row: The Third;59305
Slime Rancher;58049
FTL: Faster Than Light;57466
Half-Life;57320
Total War: ROME II - Emperor Edition;57149
Black Mesa;56895
Dishonored;56337
Enter the Gungeon;55358
Middle-earth™: Shadow of War™;54196
The Walking Dead;52757
To the Moon;52738
Ori and the Will of the Wisps;52554
Totally Accurate Battle Simulator;52119
Tom Clancy's Ghost Recon® Wildlands;51460
Half-Life: Alyx;51099
The Binding of Isaac;48838
HITMAN™ 2;48372
DEATH STRANDING;47781
Watch_Dogs 2;47742
Total War: WARHAMMER;46205
Beat Saber;46043
Crusader Kings III;45151
SCUM;44913
South Park™: The Stick of Truth™;44849
Planet Coaster;43637
Satisfactory;42449
Broforce;40977
Persona 4 Golden;40180
Kenshi;39936
Papers, Please;39882
Farming Simulator 19;38429
Jurassic World Evolution;38096
GRIS;38048
Tabletop Simulator;37766
The Crew 2;37744
ATLAS;37210
Black Desert Online;36968
DARK SOULS™: REMASTERED;36603
Resident Evil 7 Biohazard;36142
House Flipper;36092
A Hat in Time;34979
Banished;34675
DRAGON BALL FighterZ;34629
Totally Accurate Battlegrounds;34465
FINAL FANTASY XV WINDOWS EDITION;32864
Northgard;32733
Getting Over It with Bennett Foddy;31970
They Are Billions;31842
Yakuza 0;31775
Ravenfield;31746
Celeste;31454
Batman: Arkham Asylum GOTY Edition;31062
FINAL FANTASY XIV Online;29941
PC Building Simulator;29623
My Time At Portia;29557
Sniper Elite 4;28252
Super Meat Boy;28192
Duck Game;27945
Call of Duty: WWII;27617
People Playground;26319
Overcooked! 2;26015
The Wolf Among Us;24931
HuniePop;24666
Nioh: Complete Edition;24622
VA-11 Hall-A: Cyberpunk Bartender Action;23694
Artifact;23509
Half-Life 2: Episode Two;23500
The Sims(TM) 3;22812
NBA 2K19;22437
Super Hexagon;22216
Two Point Hospital;22116
BATTLETECH;21813
Blackwake;21147
Little Nightmares;20982
Day of Infamy;20908
Call of Duty: Infinite Warfare;20736
STAR WARS™ Empire at War: Gold Pack;20553
Pathfinder: Kingmaker;20386
The Henry Stickmin Collection;19400
OneShot;18975
NBA 2K18;18718
Warhammer 40,000: Dawn of War III;18435
Just Cause 4;18111
Nether;17406
For The King;17118
Danganronpa: Trigger Happy Havoc;16689
Cube World;16333
Mutant Year Zero: Road to Eden;16208
BATTALION 1944;16004
The Room;15820
NBA 2K21;15735
One Finger Death Punch;15504
Mark of the Ninja;15501
Sword Art Online: Fatal Bullet;14612
Surviving Mars;13714
Danganronpa 2: Goodbye Despair;13622
Vampyr;13312
Shovel Knight: Treasure Trove;13030
Streets of Rogue;12711
Youtubers Life;12621
Salt and Sanctuary;12362
Farm Together;12317
Football Manager 2019;11906
Tales of Berseria;11904
Baba Is You;11762
Pillars of Eternity II: Deadfire;11619
Gunpoint;11610
Golf It!;11515
The Room Two;11336
Into the Breach;11246
DUSK;11050
DiRT 4;11020
A Way Out;10941
Night in the Woods;10808
Finding Paradise;10429
Crash Bandicoot™ N. Sane Trilogy;10313
Bless Online;10197
Total War Saga: Thrones of Britannia;10009
Darksiders III;10008
X-Plane 11;10000
Freeman: Guerrilla Warfare;9904
Thief Simulator;9626
"STEINS;GATE";9621
Phoenix Wright: Ace Attorney Trilogy;9360
Just Shapes & Beats;9256
Detention;9203
Keep Talking and Nobody Explodes;8813
There Is No Game: Wrong Dimension;8409
Momodora: Reverie Under the Moonlight;8218
SOULCALIBUR VI;8211
?????8 Heroes of the Three Kingdoms 8;8111
Avorion;8108
Monster Prom;8012
FAR: Lone Sails;8005
DYNASTY WARRIORS 9;7807
PixARK;7711
Bomber Crew;7689
Ni no Kuni™ II: Revenant Kingdom;7609
Townscaper;7601
Wolfenstein: Youngblood;7445
Warhammer 40,000: Mechanicus;7207
Stay Out;7170
Foundation;7060
X Rebirth;7001
SOS;6900
Pit People;6806
Kingdom Two Crowns;6709
Train Sim World® 2020;6504
Railway Empire;6302
Cave Story+;6208
Trailmakers;6026
Age of Empires: Definitive Edition;5963
Eco;5918
A Short Hike;5847
Titan Souls;5714
The Wild Eight;5601
ULTRAKILL;5584
Desolate;5503
Takedown: Red Sabre;5502
Ancestors Legacy;5403
Grimm's Hollow;5345
Guacamelee! Super Turbo Championship Edition;5318
Dungreed;5312
RollerCoaster Tycoon World;5304
Heroes of Hammerwatch;5207
Steel Division: Normandy 44;5201
GOD EATER 3;5128
Senren?Banka;5034
Rules Of Survival;4902
Dragon Cliff ??;4601
Puyo Puyo™Tetris®;4497
Dead Rising 4;4308
FINAL FANTASY XII THE ZODIAC AGE;4207
Cyberdimension Neptunia: 4 Goddesses Online;4200
SENRAN KAGURA ESTIVAL VERSUS;4105
METAL GEAR SURVIVE;4104
Axiom Verge;4015
We Were Here Too;3809
CHRONO TRIGGER;3802
WWE 2K20;3638
20XX;3610
Deus Ex: The Fall;3610
Torment: Tides of Numenera;3601
Void Bastards;3573
Nova Drift;3539
Staxel;3500
Ghost of a Tale;3303
Styx: Shards of Darkness;3204
"STEINS;GATE 0";3202
Due Process;3104
Rise of Industry;3102
SENRAN KAGURA Peach Beach Splash;3100
Devil May Cry HD Collection;2999
WWE 2K19;2907
X-Blades;2805
Ultimate Marvel vs. Capcom 3;2804
SimAirport;2803
Iconoclasts;2800
Thimbleweed Park;2800
Cold Waters;2714
Umbrella Corps;2505
Pogostuck: Rage With Your Friends;2332
Urban Empire;2300
Volgarr the Viking;2202
Down To One;2101
Fairy Fencer F Advent Dark Force;2101
Clicker Heroes 2;2100
The End Is Nigh;2018
Farm Manager 2018;2002
Secret of Mana;1900
Hunt Down The Freeman;1815
Identity;1804
Fishing: Barents Sea;1802
The Legend of Heroes: Trails of Cold Steel II;1701
Rapture Rejects;1603
BERSERK and the Band of the Hawk;1601
Battle Royale Trainer;1600
WWE 2K17;1499
Budget Cuts;1298
Toukiden 2;1200
Slipstream;1103
Don't Escape: 4 Days to Survive;1013
Out of the Park Baseball 19;700
Shadow Complex Remastered;700
DRAGON QUEST HEROES™ II;600
Neon Hardcorps;200
